,MapNumber,Score,matchedTittle,movieTittle,,,,,
183,13223,100,Pandaemonium,PandaemoniumåÊ,,,,,1
184,2178,100,Mandela: Long Walk to Freedom,FreedomåÊ,,,,,1
185,83,100,Inferno,Towering InfernoåÊ            ,,,,,1
186,6753,75,Broken Sky,Broken HorsesåÊ,,,,,0
187,8093,100,First Blood,First BloodåÊ,,,,,1
188,9666,100,Ghost,Ghost HuntersåÊ            ,,,,,1
189,9712,86,The Exorcist III,Exorcist II: The HereticåÊ,,,,,1
190,395,100,"New York, New York (2016)","New York, New YorkåÊ",,,,,1
191,10945,100,Assassins,Reign of AssassinsåÊ,,,,,1
192,7367,87,Van Helsing,Stan HelsingåÊ,,,,,1
193,4283,100,South of the Border,The BorderåÊ            ,,,,,1
194,715,57,In Her Name (Au nom de ma fille),Del 1 - MÌ_n som hatar kvinnoråÊ            ,,,,,0
195,8118,100,Quest for Fire,Quest for FireåÊ,,,,,1
196,8604,60,Tomboy,WombåÊ,,,,,0
197,8159,100,Cat People,Cat PeopleåÊ,,,,,1
198,7357,83,Harry Potter and the Prisoner of Azkaban,The Prisoner of ZendaåÊ,,,,,1
199,8726,77,Platoon,PattonåÊ,,,,,0
200,6557,100,The Celestine Prophecy,ProphecyåÊ,,,,,1
201,5767,100,WAR,Spartacus: War of the DamnedåÊ            ,,,,,1
202,8628,100,Brazil,The Boys from BrazilåÊ,,,,,1
203,8025,100,The Postman Always Rings Twice,The Postman Always Rings TwiceåÊ,,,,,1
204,8051,100,The Pursuit of D.B. Cooper,The Pursuit of D.B. CooperåÊ,,,,,1
205,4706,73,Cheri,CypheråÊ,,,,,0
206,918,100,Legend,Legend of Kung Fu RabbitåÊ,,,,,1
207,2778,100,Battleship,Space Battleship YamatoåÊ,,,,,1
208,4011,80,Tangled,TriangleåÊ,,,,,0
209,8663,71,That's Dancing!,Dancin' It's OnåÊ,,,,,0
210,13948,83,Tibet: Cry of the Snow Lion,The Cry of the OwlåÊ,,,,,1
211,372,100,Three,A Tale of Three CitiesåÊ,,,,,1
212,10363,100,Drive,Drive HardåÊ,,,,,1
213,10461,69,Man's Best Friend,St. Trinian'såÊ,,,,,0
214,7986,100,"History of the World, Part I",History of the World: Part IåÊ,,,,,1
215,1095,83,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,F.I.S.T.åÊ,,,,,1
216,274,64,Harry & Snowman,Barry LyndonåÊ,,,,,0
217,12449,100,Molly,The Molly MaguiresåÊ,,,,,1
218,3690,100,Brighton Rock,Brighton RockåÊ,,,,,1
