,MapNumber,Score,matchedTittle,movieTittle,,,,,
255,6674,71,Red Doors,Red DogåÊ,,,,,0
256,6296,64,Intervention,DetentionåÊ,,,,,0
257,9785,96,Loose Cannons,Loose CannonsåÊ,,,,,1
258,284,63,The Boy and the Beast,The Bold and the BeautifulåÊ            ,,,,,0
259,1700,81,The Pirates,The Ice PiratesåÊ,,,,,1
260,10914,62,Babe,BarbecueåÊ,,,,,0
261,12970,91,Heist,HeiståÊ,,,,,1
262,1794,51,Expedition to the End of the World,Red Riding: In the Year of Our Lord 1974åÊ,,,,,0
263,9214,55,License to Drive,Veronika Decides to DieåÊ,,,,,0
264,7387,48,Garfield: The Movie,"Ultramarines: A Warhammer 40,000 MovieåÊ",,,,,0
265,12185,83,The Insider,The I InsideåÊ,,,,,1
266,2368,62,Beyond the Hills,Beneath Hill 60åÊ,,,,,0
267,5139,79,Star Wars: The Clone Wars,Star Wars: The Clone WarsåÊ            ,,,,,0
268,2946,78,Barbara,BarbarellaåÊ,,,,,0
269,9965,96,Shipwrecked,ShipwreckedåÊ,,,,,1
270,4594,71,The Haunting in Connecticut,The Haunting in Connecticut 2: Ghosts of GeorgiaåÊ,,,,,0
271,7640,93,Silmido,SilmidoåÊ,,,,,1
272,9925,56,Soapdish,Quo VadisåÊ,,,,,0
273,527,63,Valley of Love,Valley of the Wolves: IraqåÊ,,,,,0
274,8117,95,Creepshow,CreepshowåÊ,,,,,1
275,7996,97,Modern Problems,Modern ProblemsåÊ,,,,,1
276,353,91,Kicks,KicksåÊ,,,,,1
277,10191,61,The Player,The PlayeråÊ            ,,,,,0
278,6440,94,"Bon Cop, Bad Cop",Bon Cop Bad CopåÊ,,,,,1
279,4236,99,The City of Your Final Destination,The City of Your Final DestinationåÊ,,,,,1
280,11312,97,The Pallbearer,The PallbeareråÊ,,,,,1
281,4234,51,Preacher's Kid,PreacheråÊ            ,,,,,0
282,8365,97,The Wicked Lady,The Wicked LadyåÊ,,,,,1
283,12854,94,Restless,RestlessåÊ,,,,,1
284,3097,67,Wuthering Heights (2012),Wuthering HeightsåÊ            ,,,,,0
285,5135,60,The Secret Life of Bees,The Death and Life of Bobby ZåÊ,,,,,0
286,8390,61,Greystoke: The Legend of Tarzan,The Rocket: The Legend of Rocket RichardåÊ,,,,,0
287,5393,80,Shelter,SwelteråÊ,,,,,0
288,259,95,Mr. Church,Mr. ChurchåÊ,,,,,1
