movie_title,gross,missing,movie_title,Total Gross迨/迨Theaters,Similarity,Validation
The Boondock Saints题迨,,Y,The Boondock Saints,"$30,471 ",0.978,Y
The Border题迨            ,,Y,The Border,"$6,118,683 ",0.954,Y
The Calling题迨,,Y,The Calling,"$6,092 ",0.962,Y
The Case of the Grinning Cat题迨,,Y,The Case of the Grinning Cat,20944,0.97,Y
The City of Your Final Destination题迨,,Y,The City of Your Final Destination,493296,0.995,Y
The Company题迨            ,,Y,The Company,"$2,283,914 ",0.963,Y
The Conformist题迨,,Y,The Conformist (2014 re-release),58657,0.864,Y
The Dark Hours题迨,,Y,The Dark Hours,423,0.967,Y
The Dead Zone题迨,,Y,The Dead Zone,"$20,766,616 ",0.954,Y
The Dead Zone题迨            ,,Y,The Dead Zone,"$20,766,616 ",0.954,Y
The Deported题迨,,Y,The Departed,132384315,0.913,Y
The Elephant Man题迨,,Y,The Elephant Man,"$26,010,864 ",0.963,Y
The Evil Dead题迨,,Y,The Evil Dead,"$2,400,000 ",0.964,Y
The Family题迨            ,,Y,The Family,"$346,730 ",0.956,Y
The Following题迨            ,,Y,Following,"$48,482 ",0.948,Y
The Four Seasons题迨,,Y,The Four Seasons,"$50,427,646 ",0.98,Y
The Frozen题迨,,Y,Frozen,400738009,0.919,Y
The Girlfriend Experience题迨            ,,Y,The Girlfriend Experience,695840,0.989,Y
The Grand题迨            ,,Y,The Grand,115879,0.944,Y
The Helix... Loaded题迨,,Y,The Helix... Loaded,3700,0.979,Y
The Hit List题迨,,Y,Hit List,"$4,564 ",0.94,Y
The Honeymooners题迨            ,,Y,The Honeymooners,12843849,0.981,Y
The Ice Pirates题迨,,Y,Ice Pirates,"$14,255,801 ",0.965,Y
The Inbetweeners题迨            ,,Y,The Inbetweeners Movie,36000,0.92,Y
The Informers题迨,,Y,The Informers,300000,0.972,Y
The Janky Promoters题迨,,Y,Janky Promoters,9069,0.978,Y
The Long Riders题迨,,Y,The Long Riders,"$15,795,189 ",0.972,Y
The Love Letter题迨,,Y,The Love Letter,"$8,302,478 ",0.968,Y
The Lovers题迨,,Y,Lovers,"$1,407,309 ",0.916,Y
The Man from Snowy River题迨,,Y,The Man From Snowy River,"$20,659,423 ",0.984,Y
The Messengers题迨            ,,Y,The Messengers,35374833,0.976,Y
The Missing题迨            ,,Y,The Missing,"$27,011,180 ",0.963,Y
The Mudge Boy题迨,,Y,The Mudge Boy,62852,0.958,Y
The NeverEnding Story题迨,,Y,The Neverending Story,"$20,158,808 ",0.978,Y
The Night Visitor题迨,,Y,Night Visitor,"$166,635 ",0.961,Y
The Oh in Ohio题迨,,Y,The OH in Ohio,418689,0.965,Y
The Omen题迨,,Y,The Omen (2006),54607383,0.853,Y
The Opposite Sex题迨,,Y,The Opposite of Sex,"$5,881,367 ",0.935,Y
The Pallbearer题迨,,Y,The Pallbearer,"$5,656,388 ",0.976,Y
The Past is a Grotesque Animal题迨,,Y,The Past is a Grotesque Animal,20056,0.989,Y
The Player题迨            ,,Y,The Player,"$21,706,101 ",0.954,Y
The Postman Always Rings Twice题迨,,Y,The Postman Always Rings Twice,"$12,376,625 ",0.985,Y
The Pursuit of D.B. Cooper题迨,,Y,The Pursuit of D.B. Cooper,"$3,702,028 ",0.988,Y
The Return of the Living Dead题迨,,Y,Return of the Living Dead,"$14,237,880 ",0.964,Y
The Secret题迨            ,,Y,The Secrets,122094,0.957,Y
The Shining题迨,,Y,The Shining,"$44,017,374 ",0.962,Y
The Signal题迨,,Y,The Signal,251150,0.954,Y
The Sisterhood of Night题迨,,Y,The Sisterhood of Night,6870,0.979,Y
The Sleepwalker题迨,,Y,Sleepwalkers,"$30,524,763 ",0.959,Y
The Sleepwalker题迨,,Y,Sleepwalker,5012,0.957,Y
The Square题迨,,Y,The Square,406116,0.954,Y
The Tooth Fairy题迨,,Y,Tooth Fairy,60022256,0.959,Y
The Velocity of Gary题迨,,Y,The Velocity of Gary,"$2,143 ",0.962,Y
The Wave题迨,,Y,The Wave,177404,0.926,Y
The Wicked Lady题迨,,Y,The Wicked Lady,"$724,912 ",0.964,Y
The Wild Bunch题迨,,Y,The Wild Bunch (re-issue),"$638,641 ",0.901,Y
The Work and the Story题迨,,Y,The Work and the Story,"$3,233 ",0.98,Y
They Will Have to Kill Us First题迨,,Y,They Will Have to Kill Us First,7516,0.991,Y
This Is Martin Bonner题迨,,Y,This is Martin Bonner,13888,0.985,Y
This Thing of Ours题迨,,Y,This Thing of Ours,"$37,227 ",0.968,Y
Tracker题迨,,Y,The Tracker,55188,0.941,Y
Trapped题迨            ,,Y,Trapped,"$7,073,251 ",0.958,Y
Twisted题迨            ,,Y,Twisted,25198598,0.958,Y
Tycoon题迨,,Y,Tycoon (2003),"$123,159 ",0.867,Y
Underdogs题迨,,Y,Underdogs,35271,0.969,Y
Unforgettable题迨            ,,Y,Unforgettable,"$2,821,671 ",0.981,Y
United Passions题迨,,Y,United Passions,607,0.982,Y
Unsullied题迨,,Y,Unsullied,510957,0.969,Y
Veronica Mars题迨            ,,Y,Veronica Mars,3322127,0.962,Y
Videodrome题迨,,Y,Videodrome,"$2,120,439 ",0.973,Y
Virgin Territory题迨,,Y,Virgin,9614,0.917,Y
Willy Wonka & the Chocolate Factory题迨,,Y,Willy Wonka and the Chocolate Factory (2016 re-release),526633,0.924,Y
Windsor Drive题迨,,Y,Windsor Drive,3256,0.973,Y
Winnie Mandela题迨,,Y,Winnie Mandela,80634,0.981,Y
Wolf Creek题迨            ,,Y,Wolf Creek,16188180,0.965,Y
Wolves题迨,,Y,Wolves (IMAX),"$4,811,282 ",0.878,Y
Wuthering Heights题迨            ,,Y,Wuthering Heights (2012),100915,0.935,Y
You Got Served: Beat the World题迨,,Y,You Got Served,40363810,0.92,Y
"Yours, Mine and Ours题迨",,Y,"Yours, Mine and Ours",53412862,0.975,Y
